1,1
2,0
3,1
4,2
5,0
6,1
7,1
8,10
9,8
10,17
11,22
12,42
13,41
14,74
15,114
16,151
17,206
18,285
19,419
20,573
21,722
22,938
23,1181
24,1537
25,1949
26,2527
27,3186
28,4035
29,4967
30,6012
31,7219
32,8570
33,10334
34,11927
35,13982
36,15890
37,18415
38,20943
39,22998
40,25591
41,27842
42,29860
43,32307
44,34391
45,36026
46,37397
47,38725
48,39433
49,39839
50,39692
51,39148
52,38678
53,37605
54,36077
55,34145
56,32192
57,30229
58,27613
59,25423
60,23092
61,20577
62,18322
63,15958
64,13678
65,11944
66,10161
67,8774
68,7219
69,5912
70,4878
71,3952
72,3203
73,2545
74,2045
75,1524
76,1162
77,917
78,730
79,525
80,414
81,274
82,181
83,151
84,111
85,83
86,52
87,23
88,25
89,22
90,9
91,6
92,7
93,3
94,3
95,0
96,1
97,1
98,1
99,1
