1,10284
2,10085
3,10161
4,10034
5,10251
6,9909
7,10042
8,9947
9,10239
10,10147
11,9909
12,10080
13,10098
14,10022
15,10000
16,9960
17,10220
18,9970
19,9890
20,10122
21,10192
22,10164
23,10334
24,10057
25,10061
26,10091
27,10097
28,10163
29,10097
30,10061
31,10070
32,10212
33,10085
34,9998
35,10027
36,10121
37,10270
38,10105
39,10118
40,10030
41,10072
42,10222
43,10183
44,10192
45,10094
46,10125
47,10080
48,10224
49,10256
50,9960
51,10071
52,10110
53,10059
54,10197
55,10084
56,10017
57,10072
58,10125
59,10055
60,10155
61,10203
62,9945
63,9953
64,10147
65,10036
66,10108
67,10237
68,10105
69,10090
70,10099
71,10129
72,10064
73,10242
74,10300
75,10115
76,10069
77,10059
78,9999
79,10150
80,10053
81,10242
82,10070
83,10169
84,9952
85,10205
86,10059
87,9990
88,10133
89,10106
90,10065
91,10067
92,10247
93,10150
94,9986
95,10063
96,10026
97,10161
98,10132
99,9998
